"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2007","8.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2008","11.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2009","17.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2010","19.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2011","21.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2012","24.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2013","26.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2014","24.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2015","22.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2016","19.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2017","17.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2018","15.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2019","14.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2020","15.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2005","7.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2006","6.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2007","6.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2008","6.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2009","7.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2010","8.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2011","8.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2012","10.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2013","12.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2014","12.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2015","12.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2016","11.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2017","11.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2018","10.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2019","9.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","380","ITA","Италия","2020","9.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","398","KAZ","Казахстан","2005","8.1",
